name,team,pos,age,gp,mpg,usgpct,topct,fta,ftpct,2pa,2ppct,3pa,3ppct,efgpct,tspct,ppg,rpg,apg,spg,bpg,tpg,p+r,p+a,p+r+a,vi,ortg,drtg,season
Precious Achiuwa,Tor,F,23.6,55,20.7,19.3,12.7,124,0.702,296,0.564,108,0.269,0.521,0.554,9.2,6.0,0.9,0.6,0.5,1.1,15.2,10.1,16.1,7.1,112.3,106.9,2022-2023
Steven Adams,Mem,C,29.7,42,27.0,14.6,23.1,129,0.364,262,0.599,1,0.0,0.597,0.564,8.6,11.5,2.3,0.9,1.1,1.9,20.1,10.9,22.5,9.0,118.1,103.2,2022-2023
Bam Adebayo,Mia,C-F,25.7,75,34.6,25.3,14.4,402,0.806,1102,0.545,12,0.083,0.541,0.592,20.4,9.2,3.2,1.2,0.8,2.5,29.6,23.6,32.8,9.8,116.0,105.6,2022-2023
Ochai Agbaji,Uta,G,23.0,59,20.5,15.8,9.6,69,0.812,158,0.532,228,0.355,0.532,0.561,7.9,2.0,1.1,0.3,0.3,0.7,9.9,9.1,11.1,5.1,114.5,114.4,2022-2023
Santi Aldama,Mem,F-C,22.2,77,21.8,16.0,10.3,144,0.75,259,0.591,266,0.353,0.56,0.591,9.0,4.8,1.3,0.6,0.6,0.8,13.9,10.3,15.1,7.0,120.0,105.8,2022-2023
Nickeil Alexander-Walker,Uta,G,24.6,36,14.7,18.4,20.9,39,0.692,83,0.578,87,0.402,0.591,0.609,6.3,1.6,2.1,0.7,0.4,1.3,8.0,8.4,10.1,7.5,111.2,108.5,2022-2023
Nickeil Alexander-Walker,Min,G,24.6,23,15.5,17.3,7.4,21,0.619,53,0.415,72,0.361,0.488,0.503,5.9,1.8,1.4,0.3,0.3,0.4,7.7,7.3,9.1,6.3,106.4,110.9,2022-2023
Grayson Allen,Mil,G,27.5,72,27.4,14.6,11.4,126,0.905,191,0.518,366,0.399,0.571,0.612,10.4,3.3,2.3,0.9,0.2,1.0,13.7,12.7,16.0,6.3,123.5,110.0,2022-2023
Jarrett Allen,Cle,C,25.0,68,32.6,16.5,12.9,221,0.733,616,0.653,10,0.1,0.645,0.67,14.3,9.8,1.7,0.8,1.2,1.4,24.0,15.9,25.7,7.6,133.1,105.0,2022-2023
Jose Alvarado,Nor,G,25.0,61,21.5,19.8,14.2,80,0.813,242,0.488,247,0.336,0.496,0.525,9.0,2.3,3.0,1.1,0.2,1.3,11.3,12.1,14.4,7.4,106.6,106.0,2022-2023
